project_id,name,developer,district,city,handover,price_from,price_per_m2,status,url,listing_urls
prj553,Khu căn hộ An Hòa,Công ty CP Đầu tư Nam Long,Quận 7,TPHCM,2011,Từ 1 tỷ 575 triệu,21 - 27 triệu/m2,Cho thuê,https://mogi.vn/khu-can-ho-an-hoa-prj553,https://mogi.vn/ho-chi-minh/quan-7/thue-nha-dat/khu-can-ho-an-hoa-prj553
prj712,Khu Dân Cư An Thịnh,,Huyện Hóc Môn,TPHCM,,,,Cho thuê,https://mogi.vn/khu-dan-cu-an-thinh-prj712,https://mogi.vn/ho-chi-minh/huyen-hoc-mon/thue-nha-dat/khu-dan-cu-an-thinh-prj712
prj1160,Khu căn hộ Southern Park,Công ty Cổ Phần Quốc Cường Gia Lai,Huyện Bình Chánh,TPHCM,2016,Từ 714 triệu,14 triệu/m2,Đang bán,https://mogi.vn/southern-park-prj1160,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/southern-park-prj1160
prj1673,The Headquarters,Công ty TNHH BĐS Tinh Anh - Smartland,Huyện Nhà Bè,TPHCM,2013,,,Cho thuê,https://mogi.vn/the-headquarters-prj1673,https://mogi.vn/ho-chi-minh/huyen-nha-be/thue-nha-dat/the-headquarters-prj1673
prj1699,Khu Đô Thị Vạn Phúc,Tập đoàn Bất Động SẢn Vạn Phúc,Quận Thủ Đức (TP. Thủ Đức),TPHCM,,Từ 15 tỷ 725 triệu,185 - 340 triệu/m2,Cho thuê,https://mogi.vn/khu-do-thi-van-phuc-prj1699,https://mogi.vn/ho-chi-minh/quan-thu-duc/thue-nha-dat/khu-do-thi-van-phuc-prj1699
prj1843,KDC Làng Việt Kiều - Phong Phú 13E,Công Ty Cổ Phần Đầu Tư Kinh Doanh Nhà,Huyện Bình Chánh,TPHCM,2008,,,Đang bán; Cho thuê,https://mogi.vn/kdc-lang-viet-kieu-phong-phu-13e-prj1843,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/kdc-lang-viet-kieu-phong-phu-13e-prj1843; https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/kdc-lang-viet-kieu-phong-phu-13e-prj1843
prj1845,Căn Hộ Cao Cấp Hoàng Tháp Plaza,CÔNG TY CỔ PHẦN ĐẦU TƯ HOÀNG THÁP,Huyện Bình Chánh,TPHCM,,,,Cho thuê,https://mogi.vn/can-ho-cao-cap-hoang-thap-plaza-prj1845,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/can-ho-cao-cap-hoang-thap-plaza-prj1845
prj1852,Chung Cư CONIC – Đông Nam Á,Công ty TNHH Đầu tư và Phát triển Lĩnh Phong Conic,Huyện Bình Chánh,TPHCM,2006,Từ 819 triệu,13 - 16 triệu/m2,Cho thuê,https://mogi.vn/chung-cu-conic-dong-nam-a-prj1852,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/chung-cu-conic-dong-nam-a-prj1852
prj1853,Chung Cư Conic Garden,Công ty TNHH Đầu tư và Phát triển Lĩnh Phong Conic,Huyện Bình Chánh,TPHCM,,Từ 576 triệu,12 - 13 triệu/m2,Cho thuê,https://mogi.vn/chung-cu-conic-garden-prj1853,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/chung-cu-conic-garden-prj1853
prj1854,Chung Cư Hồng Lĩnh Plaza,CÔNG TY CỔ PHẦN ĐẦU TƯ & XÂY DỰNG GIAO THÔNG HỒNG LĨNH,Huyện Bình Chánh,TPHCM,,Từ 1 tỷ 673 triệu,21 - 27 triệu/m2,Cho thuê,https://mogi.vn/chung-cu-hong-linh-plaza-prj1854,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/chung-cu-hong-linh-plaza-prj1854
prj1855,Chung cư Nguyễn Văn Cừ,,Huyện Bình Chánh,TPHCM,,,,Đang bán,https://mogi.vn/chung-cu-nguyen-van-cu-prj1855,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/chung-cu-nguyen-van-cu-prj1855
prj1857,Happy City,Tổng Công Ty Xây Dựng Số 1,Huyện Bình Chánh,TPHCM,2015,Từ 912 triệu,12 - 13 triệu/m2,Cho thuê,https://mogi.vn/happy-city-prj1857,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/happy-city-prj1857
prj1859,Investco Green City,Công ty CP Đầu tư & Phát triển Xây dựng Investco,Huyện Bình Chánh,TPHCM,2015,Từ 495 triệu,11 triệu/m2,Đang bán,https://mogi.vn/investco-green-city-prj1859,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/investco-green-city-prj1859
prj1864,KDC 13D Asia Phú Mỹ,,Huyện Bình Chánh,TPHCM,,,,Đang bán,https://mogi.vn/kdc-13d-cty-phu-my-prj1864,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/kdc-13d-cty-phu-my-prj1864
prj1875,Khu dân cư Him Lam (Khu B),,Huyện Bình Chánh,TPHCM,,,,Đang bán,https://mogi.vn/kdc-him-lam-prj1875,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/kdc-him-lam-prj1875
prj1878,Khu Dân Cư Phi Long 5,,Huyện Bình Chánh,TPHCM,,,,Cho thuê,https://mogi.vn/kdc-philong-prj1878,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/kdc-philong-prj1878
prj1880,KDC Rạng Đông,,Huyện Bình Chánh,TPHCM,,Từ 2 tỷ 636 triệu,26 - 26 triệu/m2,Đang bán,https://mogi.vn/kdc-rang-dong-prj1880,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/kdc-rang-dong-prj1880
prj1884,Khu Biệt Thự Sông Ông Lớn,Công ty cổ phần Phát triển Nam Sài Gòn,Huyện Bình Chánh,TPHCM,2014,,,Cho thuê,https://mogi.vn/khu-biet-thu-song-ong-lon-prj1884,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/thue-nha-dat/khu-biet-thu-song-ong-lon-prj1884
prj1888,Khu Căn Hộ Ngọc Cung,Công ty CP Đầu tư Nam Long,Huyện Bình Chánh,TPHCM,,,,,https://mogi.vn/khu-can-ho-ngoc-cung-prj1888,
prj1890,Chung Cư Happy City,Tổng Công Ty Xây Dựng Số 1,Huyện Bình Chánh,TPHCM,2015,Từ 912 triệu,12 - 13 triệu/m2,Đang bán,https://mogi.vn/khu-chung-cu-happy-city-prj1890,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/khu-chung-cu-happy-city-prj1890
prj1894,Khu Dân Cư & Căn Hộ 584 Tân Kiên – Bình Chánh,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ KHAI THÁC CÔNG TRÌNH GIAO THÔNG 584,Huyện Bình Chánh,TPHCM,,,,Đang bán,https://mogi.vn/khu-dan-cu-can-ho-584-tan-kien-binh-chanh-prj1894,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/khu-dan-cu-can-ho-584-tan-kien-binh-chanh-prj1894
prj1898,Khu Dân Cư 6B INTRESCO,,Huyện Bình Chánh,TPHCM,,,,Đang bán,https://mogi.vn/khu-dan-cu-6b-intresco-prj1898,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/khu-dan-cu-6b-intresco-prj1898
prj1902,Khu Dân Cư Conic Phong Phú,Công ty TNHH Đầu tư và Phát triển Lĩnh Phong Conic,Huyện Bình Chánh,TPHCM,2008,,,Đang bán,https://mogi.vn/khu-dan-cu-conic-phong-phu-prj1902,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/khu-dan-cu-conic-phong-phu-prj1902
prj1906,Khu Dân Cư Gia Phú,,Huyện Bình Chánh,TPHCM,,Từ 2 tỷ 200 triệu,20 - 35 triệu/m2,Đang bán,https://mogi.vn/khu-dan-cu-gia-phu-prj1906,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/khu-dan-cu-gia-phu-prj1906
prj1908,Khu Dân Cư Hải Yến,Đang cập nhật,Huyện Bình Chánh,TPHCM,,,,,https://mogi.vn/khu-dan-cu-hai-yen-prj1908,
prj1911,Khu Dân Cư Phạm Văn Hai,Công ty Cổ phần Thương mại & Địa ốc Bình Chánh,Huyện Bình Chánh,TPHCM,,Từ 3 tỷ 886 triệu,43 - 54 triệu/m2,Đang bán,https://mogi.vn/khu-dan-cu-pham-van-hai-prj1911,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/khu-dan-cu-pham-van-hai-prj1911
prj1917,Khu Dân Cư Sinh Thái Thanh Bình,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG TÂN BÌNH,Huyện Bình Chánh,TPHCM,,Từ 475 triệu,9 triệu/m2,,https://mogi.vn/khu-dan-cu-sinh-thai-thanh-binh-prj1917,
