TONG DU AN: 1613  (unique id: 1613, unique url: 1613)

=== THEO QUAN/HUYEN ===
Quận 7                            214
Quận 9 (TP. Thủ Đức)              173
Quận 2 (TP. Thủ Đức)              168
Huyện Bình Chánh                  117
Quận Thủ Đức (TP. Thủ Đức)         99
Quận Bình Tân                      87
Huyện Nhà Bè                       81
Quận 8                             77
Quận Bình Thạnh                    76
Quận 12                            73
Quận 1                             68
Huyện Củ Chi                       66
Quận Tân Phú                       53
Quận 3                             39
Quận Tân Bình                      39
Quận Gò Vấp                        38
Quận 4                             30
Quận Phú Nhuận                     21
Quận 10                            20
Quận 6                             20
Quận 5                             18
Huyện Hóc Môn                      17
Quận 11                            17
Huyện Cần Giờ                       2

=== TRANG THAI ===
Đang bán                          549
(khong co)                        544
Cho thuê                          349
Đang bán; Cho thuê                171

=== TOP 20 CHU DAU TU ===
Công Ty TNHH LD Phú Mỹ Hưng                              46
Novaland Group                                           38
### Dự án tại TPHCM                                      30
Công ty TNHH Phát Triển Phú Mỹ Hưng                      24
Công Ty TNHH Liên Doanh Phú Mỹ Hưng                      16
CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH ĐỊA ỐC HƯNG THỊNH      15
Công ty Cổ phần Kiến Á                                   13
CÔNG TY CỔ PHẦN ĐẦU TƯ NAM LONG                          12
Công ty Cổ Phần Đầu Tư và Kinh Doanh Nhà Khang Điền      12
Tập Đoàn Vingroup - Công ty CP                           11
Tập đoàn Đất Xanh                                        11
Công ty CP Đầu tư Nam Long                               10
Tập đoàn CapitaLand                                      10
Công ty TNHH Đầu tư và Phát triển Lĩnh Phong Conic        9
Công ty Cổ phần Địa ốc Phú Long                           9
CÔNG TY CỔ PHẦN VẠN PHÁT HƯNG                             9
CÔNG TY CỔ PHẦN HOÀNG ANH GIA LAI                         9
TTC Land                                                  9
Công ty CP Đầu tư Xây dựng Bình Chánh (BCCI)              8
CÔNG TY CỔ PHẦN ĐẦU TƯ THỦ THIÊM                          8

=== NAM BAN GIAO ===
1997          1
2000          4
2001          2
2002          3
2004          3
2005          3
2006          9
2007          7
2008         29
2009         23
2010         26
2011         46
2012         52
2013         39
2014         42
2015         40
2016         64
2017         86
2018         95
2019         34
2020         28
2021         26
2022         26
2023         18
2024          4
2027          1

=== DO PHU DU LIEU ===
developer      1065/1613 (66%)
district       1613/1613 (100%)
handover        711/1613 (44%)
price_from      763/1613 (47%)
price_per_m2    763/1613 (47%)
status         1069/1613 (66%)
listing_urls   1069/1613 (66%)
